show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Red Horizon,John Smith,"Tom Hardy, Emily Blunt",United States,"September 9, 2020",2020,PG-13,118 min,"Action & Adventure, Drama","A soldier faces moral dilemmas during a secret mission."
s2,TV Show,City Lights,Anna Johnson,"Ryan Gosling, Emma Stone",United Kingdom,"January 15, 2021",2021,TV-MA,2 Seasons,"Drama, Romance","Intertwined lives unfold in a bustling city."
s3,Movie,The Last Byte,Michael Lee,"Chris Evans, Scarlett Johansson",United States,"March 3, 2019",2019,PG,105 min,"Sci-Fi, Thrillers","A programmer discovers a dangerous digital secret."
s4,TV Show,Kitchen Kings,David Miller,,Canada,"July 22, 2018",2018,TV-G,3 Seasons,"Reality TV","Chefs compete to become the ultimate kitchen champion."
s5,Movie,Desert Storm,Ahmed Khan,"Irrfan Khan, Deepika Padukone",India,"November 10, 2020",2020,R,130 min,"International Movies, Drama","Survival and hope in the harsh desert."
s6,Movie,Love Algorithm,Sophia Martinez,"Ana de Armas, Oscar Isaac",Spain,"February 14, 2022",2022,PG-13,112 min,"Romantic Movies, Comedies","A dating app changes modern love forever."
s7,TV Show,Crime Files,Robert Brown,"Bryan Cranston",United States,"August 5, 2017",2017,TV-MA,5 Seasons,"Crime TV Shows, Documentaries","Real crime stories that shocked the nation."
s8,Movie,Jungle Quest,Lucas Green,"Dwayne Johnson",Australia,"June 18, 2016",2016,PG,98 min,"Children & Family Movies, Adventure","A fun-filled jungle expedition."
s9,TV Show,Tech Tomorrow,Yuki Tanaka,,Japan,"October 1, 2021",2021,TV-PG,1 Season,"Documentaries, Science & Nature","Exploring future technology innovations."
s10,Movie,Midnight Run,Paul Walker,"Jason Statham",United States,"December 25, 2019",2019,R,121 min,"Action & Adventure, Thrillers","A dangerous mission unfolds overnight."
s11,Movie,Ocean Depths,Mark Wilson,"Matt Damon",United States,"May 12, 2018",2018,PG,110 min,"Documentaries, Science & Nature","Exploring the deepest parts of the ocean."
s12,TV Show,Campus Life,Sarah Adams,,United States,"April 3, 2020",2020,TV-14,4 Seasons,"Teen TV Shows, Comedies","College life with friendship and drama."
s13,Movie,Night Market,Chen Liu,"Tony Leung",China,"January 9, 2019",2019,PG-13,102 min,"International Movies, Drama","Lives intersect in a busy night market."
s14,Movie,Fast Track,James Cole,"Vin Diesel",United States,"July 7, 2021",2021,PG-13,125 min,"Action & Adventure","Racers compete in a global championship."
